Probe_ID	GENESYMBOL	FoldChange
1429413_at	Cpm	5.36
1428307_at	Zdhhc13	3.80
1424600_at	Abp1	8.40
1449289_a_at	B2m	11.45
1440910_at	C77370	4.16
1422123_s_at	Ceacam1	6.50
1450792_at	Tyrobp	3.95
1419571_at	Slc28a3	8.69
1453069_at	Pik3cb	4.70
1450344_a_at	Ptger3	3.68
1422962_a_at	Psmb8	3.67
1417895_a_at	Tmem54	3.91
1435370_a_at	Ces1d	4.23
1438558_x_at	Foxq1	5.83
1449199_at	Muc1	7.27
1425452_s_at	Fam84a	10.37
1419474_a_at	Ehf	7.38
1434013_at	Ablim3	4.64
1452734_at	Rnaset2a	3.82
1428484_at	Osbpl3	3.71
1419387_s_at	Muc13	5.43
1449195_s_at	Cxcl16	4.61
1426626_at	Gtf2f2	3.60
1451564_at	Parp14	3.47
1425163_at	Ai661453	4.98
1448393_at	Cldn7	4.35
1417275_at	Mal	12.91
1421679_a_at	Cdkn1a	3.83
1422604_at	Uox	25.23
1448700_at	G0s2	10.07
1438512_at	Bc048679	2.92
1415897_a_at	Mgst1	6.73
1421457_a_at	Samsn1	10.78
1418835_at	Phlda1	6.13
1417803_at	Sptssb	7.30
1427381_at	Irg1	18.41
1418726_a_at	Tnnt2	4.13
1422677_at	Dgat2	4.67
1455577_at	Ccl28	4.70
1425019_at	Ubxn2a	3.62
1415930_a_at	Map1lc3b	4.13
1419323_at	Padi1	5.81
1429184_at	Gm4070	12.74
1434372_at	Aw112010	5.14
1435493_at	Dsp	3.40
1416832_at	Slc39a8	5.37
1451139_at	Slc39a4	5.35
1424305_at	Igj	35.84
1419721_at	Niacr1	3.90
1416531_at	Gsto1	12.91
1425026_at	Sft2d2	3.77
1421198_at	Itgav	3.72
1417268_at	Cd14	14.82
1423935_x_at	Krt14	3.20
1422454_at	Krt13	10.29
1452166_a_at	Krt10	6.81
1449268_at	Gfpt1	3.77
1417156_at	Krt19	7.58
1448169_at	Krt18	4.42
1429351_at	Klhl24	4.13
1422487_at	Smad4	3.92
1418248_at	Gla	4.49
1422629_s_at	Shroom3	4.19
1455343_at	Plekha7	4.64
1419463_at	Clca2	8.20
1416306_at	Clca3	7.24
1417852_x_at	Clca1	7.09
1458871_at	Tmprss11e	13.09
1451823_at	Clca4	9.37
1424148_a_at	Stap2	4.15
1453511_at	2310007b03rik	9.42
1448756_at	S100a9	68.89
1419394_s_at	S100a8	51.20
1439016_x_at	Sprr2a1	3.84
1417797_a_at	1810019j16rik	3.42
1433453_a_at	Abtb2	4.21
1450009_at	Ltf	19.08
1416316_at	Slc27a2	4.64
1419029_at	Ero1l	6.16
1419832_s_at	Acpp	5.86
1416295_a_at	Il2rg	4.68
1434322_at	Micall2	6.29
1435290_x_at	H2-aa	5.87
1452207_at	Cited2	4.65
1455056_at	Lmo7	8.59
1449580_s_at	H2-dmb1	3.57
1449254_at	Spp1	8.83
1449347_a_at	Xlr4a	17.59
1418580_at	Rtp4	4.30
1451601_a_at	Spns2	3.97
1428663_at	Sgms2	4.41
1454795_at	Cobll1	3.86
1423933_a_at	1600029d21rik	52.35
1430612_at	1810033b17rik	3.95
1446316_at	Lpin2	4.38
1438707_at	Atp13a4	3.96
1455241_at	Mab21l3	4.79
1451021_a_at	Klf5	8.93
1421604_a_at	Klf3	4.00
1420382_at	Apobr	4.57
1421344_a_at	Ajuba	3.64
1417423_at	Grina	3.76
1450678_at	Itgb2	4.47
1418061_at	Ltbp2	6.61
1449507_a_at	Cd47	4.12
1416200_at	Il33	8.44
1427398_at	Muc4	9.76
1438097_at	Rab20	7.87
1450876_at	Cfh	3.31
1418724_at	Cfi	5.64
1435761_at	Bc100530	9.25
1425803_a_at	Mbd2	3.17
1417292_at	Ifi47	5.06
1425415_a_at	Slc1a1	3.93
1420378_at	Sftpd	6.83
1451416_a_at	Tgm1	5.90
1417500_a_at	Tgm2	4.84
1451916_s_at	Trim15	6.47
1416368_at	Gsta4	8.77
1417478_a_at	Ppp2r3c	3.76
1448842_at	Cdo1	3.45
1427736_a_at	Ccrl2	4.95
1417141_at	Igtp	11.16
1433610_at	Aa986860	5.10
1451537_at	Chi3l1	5.16
1436910_at	Rasal2	3.67
1460412_at	Fbln7	3.06
1427178_at	Tmc4	3.81
1427977_x_at	Gm10436	3.96
1427277_at	Six1	3.14
1418449_at	Lad1	3.91
1448261_at	Cdh1	5.02
1449152_at	Cdkn2b	10.54
1424254_at	Ifitm1	7.09
1449984_at	Cxcl2	59.47
1419700_a_at	Prom1	7.87
1416689_at	Tuft1	3.73
1449401_at	C1qc	3.69
1417063_at	C1qb	4.15
1449556_at	C920025e04rik	5.36
1429540_at	Cnfn	12.01
1420944_at	Zfp185	3.68
1424966_at	Tmem40	3.54
1419561_at	Ccl3	4.43
1417266_at	Ccl6	8.35
1425477_x_at	H2-ab1	5.82
1450826_a_at	Saa3	3.55
1434382_at	Serinc2	3.84
1454713_s_at	Hdc	21.38
1428066_at	Ccdc120	3.89
1449256_a_at	Rab11a	5.26
1423323_at	Tacstd2	3.19
1437932_a_at	Cldn1	7.89
1419445_s_at	Gm10094	4.23
1424357_at	Tmem45b	11.05
1454742_at	Rasgef1b	4.55
1438868_at	Phf11d	6.01
1449107_at	Nudt4	4.98
1449875_s_at	H2-t10	6.60
1416229_at	Rfk	4.26
1417588_at	Galnt3	3.82
1418649_at	Egln3	16.35
1445597_s_at	Pla2g16	4.37
1417244_a_at	Irf7	3.64
1418301_at	Irf6	7.63
1448752_at	Car2	3.53
1436920_at	Pcdh17	4.56
1417793_at	Irgm2	9.19
1418825_at	Irgm1	4.34
1425519_a_at	Cd74	5.82
1452934_at	Tmc5	6.56
1455399_at	Cnksr1	3.98
1425151_a_at	Noxo1	5.16
1429530_a_at	Smpd4	3.76
1451243_at	Rnpep	4.34
1431422_a_at	Dusp14	3.93
1434830_at	Mxd1	5.84
1427514_at	Loc624295	4.98
1438325_at	Mecom	4.04
1426300_at	Alcam	4.24
1416756_at	Dnajb1	4.56
1429776_a_at	Dnajb6	5.91
1419426_s_at	Ccl21a	3.48
1434674_at	Lyst	3.75
1424595_at	F11r	4.61
1456873_at	Clic5	6.74
1457044_at	Macc1	4.97
1429574_at	Clic3	3.90
1435760_at	Csta	15.32
1426942_at	Aim1	4.08
1437145_s_at	2310002j15rik	4.09
1424354_at	Tmem140	5.95
1418626_a_at	Clu	5.48
1424502_at	Oit1	4.73
1453282_at	Cxadr	5.82
1429055_at	4930506m07rik	3.92
1460004_x_at	Stx6	3.88
1448680_at	Serpina1c	19.24
1438408_at	Sowahb	4.91
1416892_s_at	Fam107b	4.05
1417714_x_at	Hba-a1	9.81
1421307_at	Car13	4.62
1452418_at	Gm20186	3.91
1427747_a_at	Lcn2	49.87
1419456_at	Dcxr	4.27
1435331_at	Pyhin1	5.95
1419057_at	Slc5a1	9.34
1424783_a_at	Loc100048662	3.75
1425606_at	Slc5a8	5.63
1418320_at	Prss8	6.24
1437197_at	Sorbs2	6.00
1426142_a_at	Trdn	3.29
1427746_x_at	H2-k1	4.66
1420362_a_at	Bik	4.09
1435529_at	Gm14446	6.15
1424090_at	Sdcbp2	5.89
1451860_a_at	Trim30a	4.31
1454654_at	Dirc2	4.15
1436778_at	Cybb	5.32
1432466_a_at	Apoe	4.09
1416592_at	Glrx	5.89
1425951_a_at	Clec4n	4.30
1458367_at	Gm94	7.61
1416034_at	Cd24a	6.97
1420330_at	Clec4e	11.06
1420804_s_at	Clec4d	13.05
1418609_at	Il1f6	5.19
1449478_at	Mmp7	5.10
1450276_a_at	Scin	5.21
1418203_at	Pmaip1	14.40
1449071_at	Myl7	3.98
1428671_at	2200002d01rik	4.03
1419219_at	Cyp4f18	5.78
1444740_at	Cers3	5.56
1449773_s_at	Gadd45b	5.76
1423174_a_at	Pard6b	9.29
1434191_at	Agmo	4.04
1416271_at	Perp	3.60
1453264_at	Marveld3	4.68
1419615_at	Trpv6	4.00
1431786_s_at	1190003j15rik	6.81
1435459_at	Fmo2	4.41
1434449_at	Aqp4	9.41
1424948_x_at	H2-d1	6.97
1452266_at	Las1l	4.21
1417896_at	Tjp3	7.03
1422953_at	Fpr2	7.34
1420697_at	Slc15a3	3.78
1419209_at	Cxcl1	32.74
1438148_at	Cxcl3	48.20
1416635_at	Smpdl3a	5.36
1419728_at	Cxcl5	180.37
1438306_at	Rnf180	8.85
1417889_at	Apobec2	6.08
1440686_at	Prss27	32.73
1420352_at	Prss22	16.98
1452298_a_at	Myo5b	6.01
1452463_x_at	Igkv8-30	6.07
1422837_at	Scel	8.33
1432579_at	Rsph3a	3.97
1417689_a_at	Pdzk1ip1	5.54
1420760_s_at	Ndrg1	4.95
1453801_at	Them5	4.77
1419004_s_at	Bcl2a1a	4.59
1420699_at	Clec7a	6.75
1451644_a_at	H2-q4	4.01
1418776_at	Gbp8	4.77
1416897_at	Parp9	4.65
1418392_a_at	Gbp3	8.32
1418240_at	Gbp2	15.13
1418536_at	H2-q7	14.56
1431008_at	H2-q6	6.19
1427042_at	Mal2	10.04
1438676_at	Gbp6	8.94
1416432_at	Pfkfb3	3.96
1452160_at	Tiparp	4.36
1422240_s_at	Sprr2h	10.49
1438037_at	Herc6	3.46
1420771_at	Sprr2d	64.14
1449833_at	Sprr2f	13.09
1431591_s_at	Gm9706	3.75
1419714_at	Cd274	4.81
1452732_at	Asprv1	16.58
1416625_at	Serping1	3.48
1423952_a_at	Krt7	13.74
1437060_at	Olfm4	31.27
1417426_at	Srgn	4.84
1421473_at	Il1a	13.69
1449399_a_at	Il1b	8.08
1420647_a_at	Krt8	6.29
1450033_a_at	Stat1	7.25
1419619_at	Krt80	3.76
1452557_a_at	Igk	3.17
1449184_at	Pglyrp1	27.19
1451794_at	Tmcc3	4.86
1418349_at	Hbegf	4.26
1418480_at	Ppbp	82.34
1424067_at	Icam1	10.31
1422783_a_at	Krt6a	4.51
1423954_at	C3	25.47
1416051_at	C2	4.00
1427021_s_at	Fth1	4.89
1420503_at	Slc6a14	22.24
1453304_s_at	Ly6e	11.04
1416922_a_at	Bnip3l	5.08
1417494_a_at	Cp	11.27
1449855_s_at	Uchl3	4.98
1437813_at	Aim1l	3.67
1417089_a_at	Ckmt1	7.33
1435639_at	2610528a11rik	5.15
1450782_at	Wnt4	4.95
1451258_at	Psca	16.06
1456211_at	Nlrp10	6.63
1419529_at	Il23a	3.82
1448613_at	Ecm1	5.33
1418501_a_at	Oxr1	4.84
1439494_at	Slc5a9	3.78
1437176_at	Nlrc5	3.62
1420394_s_at	Gp49a	9.12
1448789_at	Aldh1a3	5.42
1424268_at	Smox	7.93
1418509_at	Cbr2	5.01
1430567_at	Spink5	4.39
1433532_a_at	Mbp	3.75
1425078_x_at	C130026i21rik	10.86
1416596_at	Slc44a4	4.35
1419033_at	2610018g03rik	3.41
1424409_at	Cldn23	7.86
1417732_at	Anxa8	5.98
1450060_at	Pigr	10.46
1433604_x_at	Aldoa	3.25
1416579_a_at	Epcam	7.64
1427455_x_at	Igk-v28	18.83
1450957_a_at	Sqstm1	3.91
1449591_at	Casp4	4.10
1426734_at	Fam43a	4.14
1431805_a_at	Rhpn2	4.39
1441579_at	Dmrta1	3.91
1426968_a_at	Rdh10	4.35
1419486_at	Foxc1	3.58
1429285_at	Serpina9	5.80
1460732_a_at	Ppl	4.20
1450484_a_at	Cmpk2	3.91
1427102_at	Slfn4	12.36
1423611_at	Alpl	4.52
1447774_x_at	Fam213a	16.82
1418374_at	Fxyd3	5.15
1431609_a_at	Acp5	3.86
1451786_at	Muc20	4.18
1449166_at	S100a14	10.30
1438968_x_at	Spint2	3.77
1421653_a_at	Igh-vj558	46.96
1420008_s_at	Wwc1	3.84
1453080_at	Apol7a	12.55
1418671_at	Capn5	3.50
1422776_at	Serpinb8	4.13
1449009_at	Tgtp1	24.38
1421317_x_at	Myb	3.97
1426603_at	Rnasel	5.41
1418213_at	Krt23	11.72
1427302_at	Enpp3	4.02
1426872_at	Fcgbp	3.63
1448754_at	Rbp1	9.42
1417957_a_at	Tspan1	15.10
1420018_s_at	Tspan8	4.30
1419167_at	Prap1	9.07
1421752_a_at	Serpinb5	3.75
1417566_at	Abhd5	3.71
1423883_at	Acsl1	5.09
1416871_at	Adam8	8.42
1420908_at	Cd2ap	3.52
1419132_at	Tlr2	4.11
1419332_at	Egfl6	4.06
1449484_at	Stc2	5.13
1420579_s_at	Cftr	3.29
1418483_a_at	Ggta1	3.94
1452648_at	Tbrg1	3.72
1418735_at	Krt4	5.75
1435792_at	Csprs	20.03
1429262_at	Rassf6	4.36
1417483_at	Nfkbiz	3.84
1436990_s_at	Chchd10	3.57
1426235_a_at	Glul	12.18
1449133_at	Sprr1a	14.03
1434815_a_at	Mapkapk3	5.55
1418439_at	Mrpl42	3.82
1451335_at	Plac8	31.14
1424456_at	Pvrl2	5.76
1449451_at	Serpinb11	7.14
1424976_at	Rhov	5.40
1419725_at	Slc26a4	15.63
1438718_at	Fgf9	5.61
1455435_s_at	Chdh	2.98
1448748_at	Plek	6.26
1451206_s_at	Cytip	3.68
1457253_at	Trim40	10.80
