Probe_ID	GENESYMBOL	FoldChange
1460372_at	Duoxa1	7.17
1428307_at	Zdhhc13	3.57
1460190_at	Ap1m2	3.69
1416859_at	Fkbp3	2.68
1448682_at	Dynll1	3.50
1449256_a_at	Rab11a	5.13
1419571_at	Slc28a3	5.72
1449061_a_at	Prim1	3.36
1420431_at	Rptn	7.92
1417895_a_at	Tmem54	6.82
1438558_x_at	Foxq1	10.58
1450871_a_at	Bcat1	3.55
1425452_s_at	Fam84a	11.05
1419474_a_at	Ehf	8.91
1434013_at	Ablim3	8.11
1421041_s_at	Gm3776	12.41
1426626_at	Gtf2f2	3.59
1451675_a_at	Alas2	7.17
1425163_at	Ai661453	4.58
1425102_a_at	Ace2	4.70
1424357_at	Tmem45b	6.19
1423809_at	Tcf19	3.15
1417275_at	Mal	8.54
1451012_a_at	Ybx3	3.57
1423993_at	Atp6v1f	3.42
1450925_a_at	Rps27l	3.61
1421679_a_at	Cdkn1a	3.98
1422604_at	Uox	5.93
1435190_at	Chl1	4.79
1417802_at	Sptssb	6.81
1420683_at	Bnipl	4.77
1418726_a_at	Tnnt2	5.54
1426880_at	Etl4	2.49
1422678_at	Dgat2	3.57
1425020_at	Ubxn2a	3.42
1415930_a_at	Map1lc3b	3.56
1435693_at	Mall	4.42
1421117_at	Dst	6.64
1435493_at	Dsp	6.03
1451139_at	Slc39a4	2.70
1416531_at	Gsto1	9.64
1459897_a_at	Sbsn	2.90
1453067_at	Apitd1	3.54
1423227_at	Krt17	8.37
1448932_at	Krt16	6.89
1422667_at	Krt15	5.44
1423935_x_at	Krt14	7.76
1422454_at	Krt13	18.48
1419230_at	Krt12	4.70
1452166_a_at	Krt10	9.88
1417156_at	Krt19	6.82
1448169_at	Krt18	2.75
1420955_at	Vsnl1	3.51
1429067_at	Capns2	5.37
1423175_s_at	Pard6b	3.33
1451425_a_at	Mkrn1	4.50
1416118_at	Trim59	3.76
1455848_at	Tmprss11a	4.38
1417852_x_at	Clca1	3.11
1451597_at	Tmprss11d	3.44
1458871_at	Tmprss11e	5.69
1453511_at	2310007b03rik	5.40
1435630_s_at	Acat2	3.51
1448756_at	S100a9	7.23
1419394_s_at	S100a8	10.83
1439016_x_at	Sprr2a1	3.88
1438160_x_at	Slco4a1	3.63
1456471_x_at	Gm6756	4.66
1451798_at	Il1rn	3.10
1417797_a_at	1810019j16rik	4.12
1419027_s_at	Gltp	4.65
1450009_at	Ltf	5.45
1418917_at	Hebp2	3.25
1435761_at	Bc100530	9.50
1455056_at	Lmo7	7.24
1437232_at	Bpifc	2.20
1431176_at	Chmp4c	3.55
1449347_a_at	Xlr4a	5.08
1449184_at	Pglyrp1	3.23
1455735_at	Ap1s3	3.54
1423933_a_at	1600029d21rik	10.49
1439183_at	Acer1	3.33
1438707_at	Atp13a4	3.03
1451021_a_at	Klf5	6.75
1416802_a_at	Cdca5	4.34
1424367_a_at	Homer2	2.69
1421344_a_at	Ajuba	3.93
1426679_at	Gm10193	3.74
1418061_at	Ltbp2	3.23
1437250_at	Mreg	10.03
1416029_at	Klf10	4.97
1434851_s_at	Crb3	3.62
1454963_at	Pde12	3.31
1448558_a_at	Pla2g4a	3.37
1417738_at	Rab25	4.41
1438385_s_at	Gpt2	5.42
1450845_a_at	Bzw1	4.05
1418609_at	Il1f6	3.36
1451416_a_at	Tgm1	3.32
1416368_at	Gsta4	7.44
1423804_a_at	Idi1	3.60
1421040_a_at	Gsta2	7.23
1418831_at	Pkp3	3.99
1433610_at	Aa986860	5.18
1449586_at	Pkp1	5.58
1436910_at	Rasal2	3.57
1447807_s_at	Plekhh1	2.88
1433683_at	Esrp2	6.07
1454681_at	Esrp1	5.37
1418449_at	Lad1	9.42
1448760_at	Zfp68	3.62
1448261_at	Cdh1	5.43
1449152_at	Cdkn2b	9.79
1424254_at	Ifitm1	4.01
1423767_at	Dpy30	3.39
1443914_at	Lipk	3.41
1427278_at	Clip4	5.57
1430550_at	Lipm	3.75
1417047_at	Prom2	3.62
1437621_x_at	Phgdh	3.34
1419728_at	Cxcl5	22.85
1422432_at	Dbi	3.51
1417214_at	Rab27b	3.35
1417184_s_at	Hbb-b1	5.34
1448612_at	Sfn	9.26
1418439_at	Mrpl42	3.33
1429540_at	Cnfn	9.54
1420944_at	Zfp185	5.25
1427866_x_at	Hbb-b2	5.43
1424966_at	Tmem40	3.73
1434382_at	Serinc2	2.71
1417719_at	Sap30	3.33
1422535_at	Ccne2	3.76
1425538_x_at	Ceacam1	2.71
1434830_at	Mxd1	4.73
1437932_a_at	Cldn1	4.39
1449424_at	Plek2	4.93
1449107_at	Nudt4	4.32
1422401_at	Sprr3	5.36
1418649_at	Egln3	7.64
1423985_at	Gm15776	3.32
1433453_a_at	Abtb2	3.81
1418301_at	Irf6	24.39
1418608_at	Calml3	5.78
1415945_at	Mcm5	3.86
1438325_at	Mecom	3.10
1416200_at	Il33	12.11
1438849_at	Krt78	3.07
1450682_at	Fabp6	4.17
1451243_at	Rnpep	3.23
1456475_s_at	Prkar2b	3.80
1416939_at	Ppa1	4.52
1417506_at	Gmnn	3.33
1418698_a_at	Fech	4.57
1448752_at	Car2	4.36
1429776_a_at	Dnajb6	3.87
1449365_at	S1pr5	4.37
1422664_at	Rab10	4.11
1427910_at	Cst6	3.49
1427095_at	Cdcp1	2.80
1456873_at	Clic5	4.09
1457044_at	Macc1	6.77
1429574_at	Clic3	5.81
1417457_at	Cks2	4.45
1435760_at	Csta	12.65
1426942_at	Aim1	3.68
1437145_s_at	2310002j15rik	3.46
1437458_x_at	Clu	3.22
1424502_at	Oit1	3.50
1418799_a_at	Col17a1	11.46
1417896_at	Tjp3	3.17
1429055_at	4930506m07rik	5.37
1434628_a_at	Rhpn2	3.21
1417985_at	Nrarp	3.16
1438408_at	Sowahb	3.72
1417714_x_at	Hba-a1	15.40
1421307_at	Car13	7.93
1427747_a_at	Lcn2	4.46
1418389_at	Fam220a	4.77
1437813_at	Aim1l	3.47
1456211_at	Nlrp10	4.70
1418320_at	Prss8	3.58
1419514_at	Pitx1	3.11
1416564_at	Sox7	3.55
1418158_at	Trp63	13.20
1451639_at	Cebpg	3.39
1436895_at	Arap2	3.30
1430286_s_at	Gm14057	5.21
1424090_at	Sdcbp2	3.16
1431028_a_at	Pank1	4.32
1426824_at	Psme4	3.41
1419323_at	Padi1	3.31
1422760_at	Padi4	4.09
1448613_at	Ecm1	3.42
1416592_at	Glrx	4.64
1417374_at	Tuba4a	4.00
1455836_at	Papola	3.38
1416076_at	Ccnb1	3.02
1458367_at	Gm94	13.85
1416034_at	Cd24a	6.96
1440186_s_at	Psapl1	4.66
1419709_at	Stfa3	5.66
1418203_at	Pmaip1	4.59
