Probe_ID	GENESYMBOL	FoldChange
1451210_at	Ppap2c	6.64
1438238_at	2010315b03rik	4.36
1460190_at	Ap1m2	4.70
1424600_at	Abp1	156.46
1437303_at	Il6st	4.33
1449289_a_at	B2m	5.24
1440910_at	C77370	6.77
1418294_at	Epb4.1l4b	4.31
1449167_at	Epb4.1l4a	4.66
1424208_at	Ptger4	4.25
1419571_at	Slc28a3	17.13
1438916_x_at	6720401g13rik	4.11
1434553_at	Tmem56	6.16
1419510_at	Ces1e	4.63
1435370_a_at	Ces1d	11.25
1449199_at	Muc1	8.46
1430111_a_at	Bcat1	3.97
1427398_at	Muc4	4.30
1419474_a_at	Ehf	9.39
1440285_at	Ppp1r9a	4.44
1452734_at	Rnaset2a	4.77
1424477_at	Tmem184a	4.01
1433769_at	Als2cl	6.08
1448263_a_at	Cndp2	5.11
1439045_x_at	Tc2n	12.45
1452213_at	Tex2	8.01
1452473_at	Prr15	3.53
1424357_at	Tmem45b	3.57
1422822_at	Stard5	3.74
1439680_at	Tnfsf10	3.67
1417234_at	Mmp11	3.37
1456258_at	Emx2	4.11
1422604_at	Uox	30.46
1434914_at	Rab6b	8.44
1451905_a_at	Mx1	4.25
1415897_a_at	Mgst1	15.45
1438934_x_at	Sema4a	3.49
1418835_at	Phlda1	4.71
1425233_at	2210407c18rik	5.98
1426880_at	Etl4	5.35
1422678_at	Dgat2	8.92
1429177_x_at	Sox17	4.55
1455577_at	Ccl28	27.65
1434158_at	Gmds	7.67
1451255_at	Lsr	4.09
1425020_at	Ubxn2a	7.37
1435612_at	Opcml	6.12
1451731_at	Abca3	4.44
1429184_at	Gm4070	16.15
1451660_a_at	Hoxb6	6.48
1418415_at	Hoxb5	6.25
1416832_at	Slc39a8	46.80
1428977_at	Chst8	7.16
1423364_a_at	Aktip	3.59
1443163_at	Slc39a2	5.10
1451139_at	Slc39a4	16.91
1424305_at	Igj	8.10
1416531_at	Gsto1	6.56
1440721_at	5930433n17rik	5.06
1457825_x_at	Tcn2	3.64
1417268_at	Cd14	9.86
1435386_at	Vwf	4.18
1439817_at	Emc7	3.75
1417156_at	Krt19	20.71
1448169_at	Krt18	14.02
1431609_a_at	Acp5	6.37
1428835_at	Myh14	4.90
1436570_at	Pag1	4.12
1418037_at	C4bp	5.88
1422629_s_at	Shroom3	4.04
1441778_at	Adcyap1	5.98
1419463_at	Clca2	23.95
1416306_at	Clca3	6.75
1417852_x_at	Clca1	6.49
1458871_at	Tmprss11e	8.45
1422818_at	Nedd9	4.13
1435036_at	Aspg	4.71
1429950_at	Unc5cl	31.24
1427046_at	Grhl2	3.58
1438160_x_at	Slco4a1	33.96
1417797_a_at	1810019j16rik	6.64
1417504_at	Calb1	7.71
1450009_at	Ltf	27.50
1416316_at	Slc27a2	10.24
1451322_at	Cmbl	15.51
1417408_at	F3	5.97
1418907_at	F5	6.06
1451499_at	Cadps2	7.43
1417688_at	Fam20c	5.39
1416655_at	C1galt1c1	4.45
1455056_at	Lmo7	5.84
1427202_at	Mettl20	4.89
1449254_at	Spp1	22.95
1427465_at	Atp1a2	12.80
1459890_s_at	1110008p14rik	4.67
1428663_at	Sgms2	15.87
1417765_a_at	Amy1	3.97
1420517_at	Chmp4c	4.56
1449184_at	Pglyrp1	32.62
1451601_a_at	Spns2	4.31
1430234_at	Arl14	7.58
1455735_at	Ap1s3	4.58
1448978_at	Ngef	4.12
1423933_a_at	1600029d21rik	46.60
1424098_at	Elovl7	4.76
1438045_at	Eea1	3.63
1438707_at	Atp13a4	6.97
1455241_at	Mab21l3	6.19
1416610_a_at	Clcn3	4.85
1451021_a_at	Klf5	3.99
1436223_at	Itgb8	10.10
1434232_a_at	Vma21	3.98
1456409_at	Klhdc7a	3.73
1434322_at	Micall2	4.64
1438097_at	Rab20	6.53
1460033_at	A330023f24rik	5.79
1424612_at	Nipal2	5.82
1423153_x_at	Cfh	8.56
1418724_at	Cfi	39.85
1426541_a_at	Endod1	4.11
1419647_a_at	Ier3	3.74
1416361_a_at	Dync1i1	3.92
1434862_at	Fut2	5.72
1416629_at	Slc1a5	4.30
1418609_at	Il1f6	4.25
1435308_at	Fut9	13.04
1449896_at	Mlph	4.09
1420378_at	Sftpd	30.99
1419638_at	Efnb2	9.17
1417500_a_at	Tgm2	11.95
1434191_at	Agmo	8.23
1457619_at	Ces2b	24.00
1451537_at	Chi3l1	20.05
1460412_at	Fbln7	8.18
1448550_at	Lbp	5.91
1427976_at	Gm10436	39.84
1451127_at	Vopp1	5.01
1447807_s_at	Plekhh1	3.79
1433683_at	Esrp2	4.00
1454681_at	Esrp1	4.54
1418449_at	Lad1	3.99
1451610_at	Cxcl17	9.56
1417622_at	Slc12a2	3.61
1448261_at	Cdh1	14.59
1424254_at	Ifitm1	4.76
