Probe_ID	GENESYMBOL	FoldChange
10557470	Gdpd3	80.5
10574417	LOC333331	73.2
10410007	Fbp1	18.8
10382846	BC018473	15.4
10520622	Abhd1	13.2
10409579	Cxcl14	13.1
10441270	Ripk4	10.9
10348354	Ugt1a9	9.3
10474915	Gchfr	8.8
10398075	Serpina3n	7.6
10371942	4930485B16Rik	7.3
10365769	Hal	7.1
10518674	Rbp7	7
10402428	Serpina12	6.3
10402390	Serpina1b	6.2
10420616	Sgcg	6
10585398	Gldn	5.9
10436828	Olig1	5.8
10365627	Sycp3	5.7
10538890	LOC641050	5.6
10542477	Pik3c2g	5.5
10552594	Klk1b22	5.2
10423855	Rims2	5.1
10516064	Mfsd2	4.9
10565627	Aqp11	4.9
10538187	Gpnmb	4.3
10393166	St6galnac2	4.2
10355974	Wdfy1	4.2
10457475	Abhd3	4.1
10399666	9030624G23Rik	3.8
10459611	Mc2r	3.8
10447361	Ttc7	3.7
10398052	Serpina3h	3.6
10467730	BC023055	3.4
10427290	Hoxc8	3.4
10467319	Rbp4	3.2
10569972	Lass4	3.1
10579165	Ncan	3.1
10402399	Serpina1a	3.1
10522335	Atp10d	3
10510215	OTTMUSG00000010657	3
10407040	LOC631097	3
10511149	Mrpl20	3
10502050	Alpk1	2.9
10598575	Lancl3	2.9
10474045	Chst1	2.8
10555389	Ucp2	2.8
10456184	Apcdd1	2.8
10402409	Serpina1e	2.7
10366737	LOC674596	2.7
10572591	Ocel1	2.6
10462231	Dmrt2	2.6
10554574	Tm6sf1	2.5
10345065	Gsta3	2.5
10560919	Atp1a3	2.5
10392642	Abca5	2.5
10489246	Mafb	2.5
10463551	Elovl3	2.4
10504838	Nr4a3	2.4
10491773	Slc25a31	2.4
10554463	Hddc3	2.4
10409999	Fbp2	2.4
10523297	Ccng2	2.4
10495826	1810037I17Rik	2.3
10582429	Cbfa2t3h	2.3
10463430	Sema4g	2.3
10542021	LOC624256	2.2
10536444	Foxp2	2.2
10461423	Fads3	2.2
10579543	Txnl6	2.2
10422348	Ugcgl2	2.2
10420957	Ptk2b	2.2
10433887	Pkp2	2.2
10347741	Mogat1	2.2
10530615	Ociad2	2.2
10571274	Gsr	2.2
10431637	Cpne8	2.2
10382852	Mfsd11	2.2
10466410	Psat1	2.1
10406270	Glrx	2.1
10556076	Olfml1	2.1
10403291	Akr1c14	2.1
10558673	Cyp2e1	2.1
10383395	Slc25a10	2.1
10565315	Fah	2.1
10408266	Hist1h2ba	2.1
10436095	Retnla	2
10427744	Rai14	2
10573128	Tbc1d9	2
10397606	Tshr	2
10517116	Rps6ka1	2
10450579	Ddr1	2
10458560	Fgf1	2
10557498	1500016O10Rik	2
10509137	Hmgcl	2
10357808	Snrpe	2
10567355	Gprc5b	2
10502375	Mttp	2
10360914	Lyplal1	2
10401841	Dio2	2
10513608	Alad	2
10525677	Hip1r	2
10549079	Gys2	2
10422608	Oxct1	2
10424370	Trib1	2
