Probe Set ID	Gene	Fold
10382846	BC018473	562.2
10573152	Ucp1	532.5
10420616	Sgcg	279.5
10456392	Cidea	128.7
10377117	Myh4	41.2
10557470	Gdpd3	36.9
10371502	Fabp3	36.6
10521574	Otop1	31.9
10419568	Ear11	31.7
10431564	Cpt1b	27.7
10569008	Cox8b	24.3
10401841	Dio2	15.9
10551836	Cox7a1	14.8
10559221	Tnnt3	13.9
10567879	Atp2a1	13.2
10496555	Gbp1	12.6
10365627	Sycp3	12.1
10514865	Acot11	10.9
10543017	Pdk4	10.5
10438681	Kng2	10.2
10365769	Hal	9.0
10434719	Kng1	8.8
10518674	Rbp7	8.6
10560702	Ceacam19	8.4
10542632	Iapp	7.4
10550698	Ckm	7.3
10552594	Klk1b22	7.3
10541301	Tuba8	6.7
10570518	Myom2	6.4
10399666	9030624G23Rik	6.3
10380566	Phospho1	5.8
10549079	Gys2	5.6
10430297	Pvalb	5.6
10412543	1700001E04Rik	5.6
10520506	Kcnk3	5.5
10547719	Clstn3	5.3
10412495	LOC100041268	5.2
10417458	LOC100042217	5.0
10417408	LOC100040797	4.9
10574417	LOC333331	4.9
10417452	LOC100041565	4.9
10520622	Abhd1	4.8
10582592	Acta1	4.7
10417245	D830030K20Rik	4.7
10556769	Acsm3	4.6
10377087	Myh1	4.5
10489545	Tnnc2	4.2
10377055	Myh2	4.0
10551197	Cyp2b10	4.0
10474700	Thbs1	3.9
10469066	Ccdc3	3.8
10520467	Hadhb	3.8
10360398	Ifi202b	3.8
10394258	Adcy3	3.8
10351224	F5	3.8
10474915	Gchfr	3.8
10583056	Mmp12	3.8
10554819	Me3	3.7
10570641	AY761185	3.6
10472162	Gpd2	3.6
10417371	EG666772	3.6
10451943	2310076L09Rik	3.6
10394860	EG668468	3.5
10387768	Acadvl	3.5
10522335	Atp10d	3.4
10505445	Orm3	3.4
10426909	Letmd1	3.3
10360418	Rgs7	3.2
10403291	Akr1c14	3.1
10589076	Slc25a20	3.0
10360631	Cabc1	3.0
10475653	Slc27a2	3.0
10482528	Neb	2.9
10547022	Timp4	2.9
10378319	P2rx5	2.9
10587534	Bckdhb	2.9
10571399	Zdhhc2	2.9
10360235	Casq1	2.8
10557575	Mylpf	2.8
10407097	Pde4d	2.8
10559200	Tnni2	2.8
10457644	Cdh2	2.8
10502214	Cyp2u1	2.7
10416379	Sucla2	2.7
10416099	Adra1a	2.7
10445347	Clic5	2.7
10456699	Acaa2	2.6
10472538	Dhrs9	2.6
10355974	Wdfy1	2.6
10524460	Acacb	2.6
10554463	Hddc3	2.5
10355246	Acadl	2.5
10405566	AU042651	2.5
10539080	St3gal5	2.5
10425611	Aco2	2.5
10585417	Idh3a	2.5
10587871	Paqr9	2.4
10450038	Angptl4	2.4
10508686	Mecr	2.4
10358476	Prg4	2.4
10445360	Supt3h	2.4
10579199	Slc25a42	2.4
10539143	Retsat	2.4
10481474	Crat	2.4
10498837	Etfdh	2.4
10366737	LOC674596	2.4
10368893	Lace1	2.3
10528929	Hadha	2.3
10539159	Suclg1	2.3
10348354	Ugt1a9	2.3
10404389	Irf4	2.3
10441270	Ripk4	2.3
10552587	Klk1b21	2.3
10566514	Mrps36	2.3
10476401	Plcb1	2.2
10502951	Acadm	2.2
10444824	H2-Q6	2.2
10511149	Mrpl20	2.2
10608549	LOC100039857	2.2
10555378	Ucp3	2.2
10412394	Nnt	2.2
10476383	Crls1	2.2
10443527	Pim1	2.2
10553080	Car11	2.2
10543067	Asns	2.1
10532926	Acads	2.1
10507520	Hyi	2.1
10585194	Il18	2.1
10394940	6030426L16Rik	2.1
10533122	Sdsl	2.1
10407040	LOC631097	2.1
10402659	Ankrd9	2.1
10487629	Idh3b	2.1
10551966	Hspb6	2.1
10467162	Pank1	2.1
10543572	Impdh1	2.0
10514933	Cpt2	2.0
10407803	Gpr137b	2.0
10442445	Dci	2.0
10357808	Snrpe	2.0
10523021	Slc4a4	2.0
10398859	Adssl1	2.0
10364102	Ndg2	2.0
